                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     550                                     1521                  1.4000000000000000E+001                  2.0000000000000000E-002                  1.2845826707147866E+007                  9.5249383072294368E+003                  8.8097426142613222E+003                  4.6603205062640001E+004                  9.2669029164947560E+001                 -3.1757998301034482E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.2835434611298900E-001                  4.8501648279143650E-001                  4.8522623136076725E-006                  6.2264137181175190E-002                  2.0282957879867534E-002                  1.3987763222022759E+001                 -6.5973665374320265E-008                  6.8062674843900401E+000                  2.0381997651592988E-004                  6.1684509002730969E+000                  6.6721795323748045E-001                  6.8707655035384951E-002                  1.6651038932257523E-001                  5.3373803651591889E-002                  3.2120346621934783E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3871782018644875E+006                  1.0669082017036305E+003                  3.0014594925867473E+006                  4.6618493538847055E+004                  3.4147606064646483E+004                  1.0256494041531168E+004                  2.3290881536466909E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  4.0538346089348950E+014                               "r24.08.1"                               "gfortran"                                 "13.3.0"                    "x86_64-linux-24.7.1"                                 "CRMATH"                               "20240918"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                     logM                                  r_div_R                                       xm                                 xr_div_R                             log_xr_div_R                                 pressure                                     prad                                     pgas                                       pp                                      cno                                tri_alpha                                        x                                        y                                        z                               luminosity                                       Lr 
                                       1                  1.3987763222022759E+001                  1.9669346132151921E+000                  3.9449646116329959E+000                 -1.0805324701904690E+001                  1.4884705875515771E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  1.1457482721760055E+000                  1.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                  3.0794317809534867E+001                  1.5191064819413214E+001                  1.5603252990121652E+001                  2.2956525212336692E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  4.6603205062640001E+004                  1.7839706897978594E+038 
                                       2                  1.3987763222015765E+001                  1.9669344986497441E+000                  3.9449687773862214E+000                 -1.0805298560569351E+001                  1.4884956925713873E+000                  6.9999999999938611E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  1.1457482721757883E+000                  9.9999973620334193E-001                  6.9938816110113780E-012                  2.6379665809726105E-007                 -6.5787307106058464E+000                  3.0796097971006255E+001                  1.5191647681447451E+001                  1.5604450289558802E+001                  2.2957907073283607E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999938611E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  4.6603205062662513E+004                  1.7839706897987211E+038 
                                       3                  1.3987763222001819E+001                  1.9669342702281116E+000                  3.9449743262133716E+000                 -1.0805263746231066E+001                  1.4885291297970611E+000                  6.9999999999938611E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  1.1457482721753554E+000                  9.9999921024337290E-001                  2.0939169301229490E-011                  7.8975662705901198E-007                 -6.1025067211264092E+000                  3.0798469117227100E+001                  1.5192424094546800E+001                  1.5606045022680302E+001                  2.2959747528262217E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999938611E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  4.6603205062752117E+004                  1.7839706898021510E+038 
                                       4                  1.3987763221987873E+001                  1.9669340418244279E+000                  3.9449818244850778E+000                 -1.0805216710955698E+001                  1.4885743095506314E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  1.1457482721749224E+000                  9.9999868432500927E-001                  3.4884456991447600E-011                  1.3156749907522083E-006                 -5.8808513805970266E+000                  3.0801673255623712E+001                  1.5193473344419644E+001                  1.5608199911204069E+001                  2.2962234275643372E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  4.6603205062841625E+004                  1.7839706898055776E+038 
                                       5                  1.3987763221964130E+001                  1.9669336529852610E+000                  3.9449912724515404E+000                 -1.0805157463835101E+001                  1.4886312283010117E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  1.1457482721741852E+000                  9.9999778899131908E-001                  5.8627724606821416E-011                  2.2110086809622923E-006                 -5.6554095522712995E+000                  3.0805710395666615E+001                  1.5194795522604624E+001                  1.5610914873061992E+001                  2.2965367044613376E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  4.6603205062993758E+004                  1.7839706898114012E+038 
                                       6                  1.3987763221940387E+001                  1.9669332641980908E+000                  3.9450054448197447E+000                 -1.0805068624887975E+001                  1.4887165927475652E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  1.1457482721734480E+000                  9.9999689377815648E-001                  8.2370992222195240E-011                  3.1062218434968320E-006                 -5.5077675305887901E+000                  3.0811766127415058E+001                  1.5196779064200014E+001                  1.5614987063215045E+001                  2.2970065321055759E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  4.6603205063145637E+004                  1.7839706898172150E+038 
                                       7                  1.3987763221892900E+001                  1.9669324867796689E+000                  3.9450246015499268E+000                 -1.0804948614663187E+001                  1.4888319450244545E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  1.1457482721719736E+000                  9.9999510371324984E-001                  1.2985752745294289E-010                  4.8962867501935382E-006                 -5.3101331557358584E+000                  3.0819951079288543E+001                  1.5199460620539973E+001                  1.5620490458748572E+001                  2.2976413626857863E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  4.6603205063448593E+004                  1.7839706898288124E+038 
                                       8                  1.3987763221844114E+001                  1.9669316882828138E+000                  3.9450537266474610E+000                 -1.0804766300306463E+001                  1.4890072538027739E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  1.1457482721704588E+000                  9.9999326511698672E-001                  1.7864479660280401E-010                  6.7348830132709622E-006                 -5.1716699436874149E+000                  3.0832394476204080E+001                  1.5203538454106708E+001                  1.5628856022097374E+001                  2.2986061056589768E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  4.6603205063758716E+004                  1.7839706898406837E+038 
                                       9                  1.3987763221746540E+001                  1.9669300919461714E+000                  3.9450902904383409E+000                 -1.0804537699762493E+001                  1.4892272059623100E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  1.1457482721674295E+000                  9.9998958944754146E-001                  2.7621933490252627E-010                  1.0410552458590880E-005                 -4.9825262230974179E+000                  3.0848013761353037E+001                  1.5208659335333587E+001                  1.5639354426019448E+001                  2.2998163511535315E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9999999999938622E-001                  2.8000000000061404E-001                  1.9999999999999796E-002                  4.6603205064375688E+004                  1.7839706898643015E+038 
